name,platform,device_group,orientation,width,height,required_or_optional,notes,source_url,last_checked
app-store-iphone-6-9-portrait-a,app-store,iphone 6.9 inch,portrait,1260,2736,accepted-primary,"Use for current large iPhone screenshots when applicable; App Store Connect accepts this 6.9 inch portrait size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-iphone-6-9-landscape-a,app-store,iphone 6.9 inch,landscape,2736,1260,accepted-primary,"Use for current large iPhone landscape screenshots when applicable.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-iphone-6-9-portrait-b,app-store,iphone 6.9 inch,portrait,1290,2796,accepted-primary,"Accepted 6.9 inch portrait size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-iphone-6-9-landscape-b,app-store,iphone 6.9 inch,landscape,2796,1290,accepted-primary,"Accepted 6.9 inch landscape size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-iphone-6-9-portrait-c,app-store,iphone 6.9 inch,portrait,1320,2868,accepted-primary,"Accepted 6.9 inch portrait size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-iphone-6-9-landscape-c,app-store,iphone 6.9 inch,landscape,2868,1320,accepted-primary,"Accepted 6.9 inch landscape size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-iphone-6-5-portrait-a,app-store,iphone 6.5 inch,portrait,1284,2778,conditional-required,"Required if app runs on iPhone and 6.9 inch screenshots are not provided.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-iphone-6-5-landscape-a,app-store,iphone 6.5 inch,landscape,2778,1284,conditional-required,"Required if app runs on iPhone and 6.9 inch screenshots are not provided.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-iphone-6-5-portrait-b,app-store,iphone 6.5 inch,portrait,1242,2688,conditional-required,"Accepted 6.5 inch portrait size; scaled 6.9 inch screenshots may be used when accepted sizes are missing.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-iphone-6-5-landscape-b,app-store,iphone 6.5 inch,landscape,2688,1242,conditional-required,"Accepted 6.5 inch landscape size; scaled 6.9 inch screenshots may be used when accepted sizes are missing.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-iphone-6-3-portrait-a,app-store,iphone 6.3 inch,portrait,1179,2556,accepted,"Accepted 6.3 inch portrait size; larger screenshots may scale down when accepted sizes are missing.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-iphone-6-3-landscape-a,app-store,iphone 6.3 inch,landscape,2556,1179,accepted,"Accepted 6.3 inch landscape size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-iphone-6-3-portrait-b,app-store,iphone 6.3 inch,portrait,1206,2622,accepted,"Accepted 6.3 inch portrait size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-iphone-6-3-landscape-b,app-store,iphone 6.3 inch,landscape,2622,1206,accepted,"Accepted 6.3 inch landscape size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-iphone-6-1-portrait-a,app-store,iphone 6.1 inch,portrait,1170,2532,accepted,"Accepted 6.1 inch portrait size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-iphone-6-1-landscape-a,app-store,iphone 6.1 inch,landscape,2532,1170,accepted,"Accepted 6.1 inch landscape size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-iphone-6-1-portrait-b,app-store,iphone 6.1 inch,portrait,1125,2436,accepted,"Accepted 6.1 inch portrait size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-iphone-6-1-landscape-b,app-store,iphone 6.1 inch,landscape,2436,1125,accepted,"Accepted 6.1 inch landscape size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-iphone-6-1-portrait-c,app-store,iphone 6.1 inch,portrait,1080,2340,accepted,"Accepted 6.1 inch portrait size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-iphone-6-1-landscape-c,app-store,iphone 6.1 inch,landscape,2340,1080,accepted,"Accepted 6.1 inch landscape size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-iphone-5-5-portrait,app-store,iphone 5.5 inch,portrait,1242,2208,accepted-legacy,"Accepted legacy iPhone portrait size; screenshots may scale from 6.1 inch when accepted sizes are missing.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-iphone-5-5-landscape,app-store,iphone 5.5 inch,landscape,2208,1242,accepted-legacy,"Accepted legacy iPhone landscape size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-ipad-13-portrait-a,app-store,ipad tablet 13 inch,portrait,2064,2752,required-if-ipad,"Required if app runs on iPad.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-ipad-13-landscape-a,app-store,ipad tablet 13 inch,landscape,2752,2064,required-if-ipad,"Required if app runs on iPad.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-ipad-13-portrait-b,app-store,ipad tablet 13 inch,portrait,2048,2732,required-if-ipad,"Accepted 13 inch iPad portrait size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-ipad-13-landscape-b,app-store,ipad tablet 13 inch,landscape,2732,2048,required-if-ipad,"Accepted 13 inch iPad landscape size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-ipad-12-9-portrait,app-store,ipad tablet 12.9 inch,portrait,2048,2732,accepted,"Accepted 12.9 inch iPad portrait size; scaled 13 inch screenshots may be used when accepted sizes are missing.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-ipad-12-9-landscape,app-store,ipad tablet 12.9 inch,landscape,2732,2048,accepted,"Accepted 12.9 inch iPad landscape size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-ipad-11-portrait-a,app-store,ipad tablet 11 inch,portrait,1488,2266,accepted,"Accepted 11 inch iPad portrait size; 13 inch screenshots may scale down when accepted sizes are missing.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-ipad-11-landscape-a,app-store,ipad tablet 11 inch,landscape,2266,1488,accepted,"Accepted 11 inch iPad landscape size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-ipad-11-portrait-b,app-store,ipad tablet 11 inch,portrait,1668,2420,accepted,"Accepted 11 inch iPad portrait size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-ipad-11-landscape-b,app-store,ipad tablet 11 inch,landscape,2420,1668,accepted,"Accepted 11 inch iPad landscape size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-ipad-10-5-portrait,app-store,ipad tablet 10.5 inch,portrait,1668,2224,accepted,"Accepted 10.5 inch iPad portrait size; larger screenshots may scale down when accepted sizes are missing.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
app-store-ipad-10-5-landscape,app-store,ipad tablet 10.5 inch,landscape,2224,1668,accepted,"Accepted 10.5 inch iPad landscape size.",https://developer.apple.com/help/app-store-connect/reference/app-information/screenshot-specifications,2026-06-10
google-play-feature-graphic,google-play,feature graphic,landscape,1024,500,required,"Required for publishing a store listing; JPEG or 24-bit PNG with no alpha.",https://support.google.com/googleplay/android-developer/answer/9866151,2026-06-10
google-play-screenshot-minimum,google-play,all screenshots,any,320,320,minimum,"Minimum dimension is 320px; JPEG or 24-bit PNG with no alpha; max dimension cannot exceed twice the min dimension.",https://support.google.com/googleplay/android-developer/answer/9866151,2026-06-10
google-play-screenshot-maximum,google-play,all screenshots,any,3840,3840,maximum,"Maximum dimension is 3840px; max dimension cannot be more than twice the min dimension.",https://support.google.com/googleplay/android-developer/answer/9866151,2026-06-10
google-play-phone-app-portrait,google-play,phone app,portrait,1080,1920,recommended,"Apps should provide at least four screenshots with minimum 1080px resolution; portrait should be 9:16.",https://support.google.com/googleplay/android-developer/answer/9866151,2026-06-10
google-play-phone-app-landscape,google-play,phone app,landscape,1920,1080,recommended,"Apps should provide at least four screenshots with minimum 1080px resolution; landscape should be 16:9.",https://support.google.com/googleplay/android-developer/answer/9866151,2026-06-10
google-play-phone-game-portrait,google-play,phone game,portrait,1080,1920,recommended,"Games should provide at least three portrait screenshots at minimum 1080x1920 and depict real in-game experience.",https://support.google.com/googleplay/android-developer/answer/9866151,2026-06-10
google-play-phone-game-landscape,google-play,phone game,landscape,1920,1080,recommended,"Games should provide at least three landscape screenshots at minimum 1920x1080 and depict real in-game experience.",https://support.google.com/googleplay/android-developer/answer/9866151,2026-06-10
google-play-tablet-portrait,google-play,tablet large screen,portrait,1080,1920,recommended,"For tablets and Chromebooks add at least four screenshots; use 9:16 portrait between 1080px and 7680px.",https://support.google.com/googleplay/android-developer/answer/9866151,2026-06-10
google-play-tablet-landscape,google-play,tablet large screen,landscape,1920,1080,recommended,"For tablets and Chromebooks add at least four screenshots; use 16:9 landscape between 1080px and 7680px.",https://support.google.com/googleplay/android-developer/answer/9866151,2026-06-10
google-play-wear-os-square,google-play,wear os,portrait,384,384,required-if-wear,"Wear OS screenshots should show only the app interface, 1:1 aspect ratio, minimum 384x384, no transparent background or masking.",https://support.google.com/googleplay/android-developer/answer/9866151,2026-06-10
google-play-android-tv-landscape,google-play,android tv,landscape,1920,1080,required-if-tv,"At least one Android TV screenshot is needed if distributing to Android TV; TV screenshots show only on TV devices.",https://support.google.com/googleplay/android-developer/answer/9866151,2026-06-10
google-play-automotive-portrait,google-play,android automotive,portrait,800,1280,required-if-automotive,"If automotive screenshots are provided, include at least two portrait screenshots at 800x1280 for relevant categories.",https://support.google.com/googleplay/android-developer/answer/9866151,2026-06-10
google-play-automotive-landscape,google-play,android automotive,landscape,1024,768,required-if-automotive,"If automotive screenshots are provided, include at least two landscape screenshots at 1024x768 for relevant categories.",https://support.google.com/googleplay/android-developer/answer/9866151,2026-06-10
google-play-android-xr-landscape,google-play,android xr,landscape,3840,2400,recommended,"Android XR supports 4 to 8 PNG/JPEG screenshots up to 8 MB each, 8:5 aspect ratio; recommended 3840x2400, minimum 1920x1200.",https://support.google.com/googleplay/android-developer/answer/9866151,2026-06-10
